model,interval_start_datetime,predicted_call_volume
gradient_boosting,2026-01-07T12:00:00,269.8582
gradient_boosting,2026-01-07T12:30:00,293.0658
gradient_boosting,2026-01-07T13:00:00,279.6349
gradient_boosting,2026-01-07T13:30:00,275.1582
gradient_boosting,2026-01-07T14:00:00,297.4172
gradient_boosting,2026-01-07T14:30:00,312.7208
gradient_boosting,2026-01-07T15:00:00,302.6784
gradient_boosting,2026-01-07T15:30:00,269.9984
gradient_boosting,2026-01-07T16:00:00,245.2087
gradient_boosting,2026-01-07T16:30:00,237.0095
gradient_boosting,2026-01-07T17:00:00,226.3595
gradient_boosting,2026-01-07T17:30:00,234.4261
gradient_boosting,2026-01-07T18:00:00,200.5148
gradient_boosting,2026-01-07T18:30:00,199.5648
gradient_boosting,2026-01-07T19:00:00,210.0896
gradient_boosting,2026-01-07T19:30:00,215.0967
gradient_boosting,2026-01-07T20:00:00,205.5984
gradient_boosting,2026-01-07T20:30:00,205.5984
gradient_boosting,2026-01-07T21:00:00,210.0896
gradient_boosting,2026-01-07T21:30:00,213.3561
gradient_boosting,2026-01-07T22:00:00,217.8238
gradient_boosting,2026-01-07T22:30:00,220.2468
gradient_boosting,2026-01-07T23:00:00,205.5984
gradient_boosting,2026-01-07T23:30:00,202.3413
gradient_boosting,2026-01-08T00:00:00,233.8521
gradient_boosting,2026-01-08T00:30:00,211.8923
gradient_boosting,2026-01-08T01:00:00,203.2810
gradient_boosting,2026-01-08T01:30:00,181.1001
gradient_boosting,2026-01-08T02:00:00,130.1050
gradient_boosting,2026-01-08T02:30:00,147.7430
gradient_boosting,2026-01-08T03:00:00,117.7002
gradient_boosting,2026-01-08T03:30:00,90.7273
gradient_boosting,2026-01-08T04:00:00,85.6405
gradient_boosting,2026-01-08T04:30:00,77.9906
gradient_boosting,2026-01-08T05:00:00,82.0383
gradient_boosting,2026-01-08T05:30:00,84.2044
gradient_boosting,2026-01-08T06:00:00,90.6893
gradient_boosting,2026-01-08T06:30:00,104.9175
gradient_boosting,2026-01-08T07:00:00,121.8515
gradient_boosting,2026-01-08T07:30:00,154.5056
gradient_boosting,2026-01-08T08:00:00,214.9475
gradient_boosting,2026-01-08T08:30:00,217.2929
gradient_boosting,2026-01-08T09:00:00,259.7119
gradient_boosting,2026-01-08T09:30:00,233.3036
gradient_boosting,2026-01-08T10:00:00,256.4609
gradient_boosting,2026-01-08T10:30:00,263.2293
gradient_boosting,2026-01-08T11:00:00,263.2293
gradient_boosting,2026-01-08T11:30:00,247.6161
gradient_boosting,2026-01-08T12:00:00,261.9790
gradient_boosting,2026-01-08T12:30:00,260.0220
gradient_boosting,2026-01-08T13:00:00,257.8622
gradient_boosting,2026-01-08T13:30:00,266.7148
gradient_boosting,2026-01-08T14:00:00,261.2204
gradient_boosting,2026-01-08T14:30:00,257.8622
gradient_boosting,2026-01-08T15:00:00,255.7832
gradient_boosting,2026-01-08T15:30:00,258.6298
gradient_boosting,2026-01-08T16:00:00,246.7179
gradient_boosting,2026-01-08T16:30:00,228.9438
gradient_boosting,2026-01-08T17:00:00,223.0930
gradient_boosting,2026-01-08T17:30:00,225.0128
gradient_boosting,2026-01-08T18:00:00,221.4268
gradient_boosting,2026-01-08T18:30:00,210.0896
gradient_boosting,2026-01-08T19:00:00,205.5984
gradient_boosting,2026-01-08T19:30:00,197.2433
gradient_boosting,2026-01-08T20:00:00,221.2179
gradient_boosting,2026-01-08T20:30:00,219.1296
gradient_boosting,2026-01-08T21:00:00,221.2179
gradient_boosting,2026-01-08T21:30:00,224.3613
gradient_boosting,2026-01-08T22:00:00,224.3613
gradient_boosting,2026-01-08T22:30:00,221.2179
gradient_boosting,2026-01-08T23:00:00,218.1553
gradient_boosting,2026-01-08T23:30:00,208.8977
gradient_boosting,2026-01-09T00:00:00,199.7715
gradient_boosting,2026-01-09T00:30:00,192.8906
gradient_boosting,2026-01-09T01:00:00,145.9653
gradient_boosting,2026-01-09T01:30:00,103.2132
gradient_boosting,2026-01-09T02:00:00,94.3334
gradient_boosting,2026-01-09T02:30:00,89.8673
gradient_boosting,2026-01-09T03:00:00,91.5402
gradient_boosting,2026-01-09T03:30:00,82.0383
gradient_boosting,2026-01-09T04:00:00,82.0383
gradient_boosting,2026-01-09T04:30:00,82.0383
gradient_boosting,2026-01-09T05:00:00,88.7775
gradient_boosting,2026-01-09T05:30:00,87.8066
gradient_boosting,2026-01-09T06:00:00,99.0292
gradient_boosting,2026-01-09T06:30:00,162.5662
gradient_boosting,2026-01-09T07:00:00,173.0351
gradient_boosting,2026-01-09T07:30:00,228.3416
gradient_boosting,2026-01-09T08:00:00,259.1311
gradient_boosting,2026-01-09T08:30:00,285.4969
